Fiscal Year,Event ID,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),City,State,Zip Code,Internal Event Name,Previous Event ID
2016,27155,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,AKA 2016 Bike MS: Sitka,0
2016,27154,500000,45,0,0,0,0,6,6,4,0,0,0,45,0,0,0,0,Fairbanks,AK,99701,AKA 2016 Bike MS: Fairbanks,0
2016,26886,0,7,0,0,0,0,2,2,1,0,0,0,7,0,0,0,0,Anchorage,AK,99501,AKA 2016 Bike MS: Anchorage,0
2016,27089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,AKA 2016 Bike MS: Juno,0
2015,26357,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AL,,BB test,0
2014,22447,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Kuzava Test,0
2013,20341,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AL,,ALC Bike MS 2013,0
2014,21746,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ALC Bike MS 2014 OLD,0
2013,21038,165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AL,,ALC 2013 Bike MS Clinton,17966
2016,25461,100000,101,2,1235,53113.63,25050,13,13,4,28063.63,31,13515,72,47138.63,1320,7865,7540,Madison,MS,39110,ALC 2015 Bike MS: Mississippi 150,23558
2014,22490,100000,273,0,3185,96160.31,79892.24,18,20,12,16268.07,126,22067,147,80844.31,15190,6059.07,6596,Athens,AL,35611,"Alabama, Athens - Bike MS: North Alabama 2014",20706
2013,20706,100000,231,2,3255,69456.75,40642.5,18,19,9,28814.25,105,24165,128,56066.75,1370,10195,9775,"Athens, AL ",AL,35611,"Alabama, Athens -  Bike MS: North Alabama 2013",18477
2017,28940,235000,544,10,8599,250058.34,151783.54,45,47,8,98274.8,252,54256,302,212537.34,5509.88,7337.7,13275,Orange Beach,AL,36561,ALC 2017 Bike MS: Tour de Beach,27775
2013,17966,165000,137,7,1784.54,67856.14,35761,15,15,5,32095.14,114,32920,30,58842.82,5900,24057.2,22750,Clinton,MS,39056,ALC 2012 Bike MS Clinton,15861
2015,23558,100000,76,0,821.48,45302.4,22380,12,13,3,22922.4,30,17174.15,46,38448.25,740,11170,10220,Clinton,MS,39056,"Mississippi, Clinton- Bike MS: Bike to the Battlefield 2014",21037
2014,21037,0,107,1,994.03,53357.63,24450,10,11,6,28907.63,62,20345,46,47874.13,125,13200,14861.5,Clinton,MS,39056,"Mississippi, Clinton - 2013 Bike MS: Bike to the Battlefield",17966
2016,27776,150000,150,1,1743.82,69628,51035.75,18,21,6,18592.25,89,21602.75,62,58269.65,16200,5341.7,9654.4,Athens,AL,35611,ALC 2016 Bike MS: Rocket to the Shoals,25459
2015,25460,215000,423,5,5347.5,179350.73,113254.53,31,32,9,66096.2,185,40377.22,243,148415.51,3808.35,7264,8882,Orange Beach,AL,36561,ALC 2015 Bike MS: Tour de Beach,23557
