CaptainAcceptEmail,PriorYearParticipation,GenderMale,GenderFemale,GenderNotSpecified,RegOnline,RegOffline,PriorParticipant,NotPriorParticipant,ConnectionMS,NoConnectionMS,RegActive,RegInActive,DonorGenderMale,DonorGenderFemale,DonorGenderNotSpecified,RegisteredDonors,NonRegisteredDonors,DonorConnectionMS,DonorNoConnectionMS,DonorPriorParticipant,DonorNotPriorParticipant,GiftAmount
TRUE,1,16,6,0,22,0,14,8,11,11,22,0,134,125,21,21,259,40,240,185,95,24460
FALSE,0,12,6,0,18,0,8,10,5,13,18,0,119,46,4,18,151,21,148,85,82,8300
TRUE,0,28,6,0,34,0,16,18,20,14,33,1,196,136,110,34,408,79,363,267,175,43085
FALSE,0,13,2,0,15,0,2,13,3,12,14,1,54,48,5,15,92,19,88,18,89,6770
TRUE,1,8,1,0,9,0,2,7,4,5,9,0,15,5,1,9,12,10,11,4,17,3225
TRUE,0,20,13,0,32,1,17,16,16,17,33,0,170,193,36,33,366,69,330,179,219,29584
FALSE,0,1,0,0,1,0,1,0,0,1,1,0,3,0,0,1,2,0,3,3,0,400
TRUE,0,25,8,0,33,0,15,18,15,18,32,1,161,169,23,33,320,76,277,136,217,26805
TRUE,0,14,2,0,16,0,3,13,4,12,16,0,7,3,15,3,22,2,23,9,16,7178
TRUE,0,3,1,0,4,0,0,4,1,3,4,0,8,10,2,4,16,1,19,0,20,2305
TRUE,1,31,13,0,44,0,35,9,29,15,44,0,248,204,24,44,432,117,359,406,62,51087
TRUE,0,9,2,0,11,0,3,8,7,4,11,0,25,31,9,11,54,19,46,30,35,6604
FALSE,0,1,0,0,1,0,1,0,1,0,1,0,7,1,0,1,7,1,7,8,0,725
TRUE,0,2,0,0,2,0,0,2,1,1,2,0,6,0,0,2,4,2,4,0,6,1610
TRUE,0,32,12,0,44,0,24,20,26,18,44,0,207,215,45,42,425,96,371,218,249,33630
TRUE,0,161,37,2,199,1,113,87,111,89,198,2,1644,1027,265,199,2737,746,2190,1980,955,388658
TRUE,0,74,27,1,101,1,49,53,58,44,98,4,629,371,123,101,1022,267,856,573,550,102970
FALSE,0,2,2,0,4,0,2,2,4,0,4,0,15,31,0,4,42,11,35,29,17,3505
FALSE,1,2,0,0,2,0,0,2,0,2,2,0,5,1,0,1,5,0,6,0,6,400
TRUE,0,18,4,0,22,0,12,10,16,6,21,1,77,47,13,22,115,42,95,63,74,10524
TRUE,0,13,1,0,14,0,6,8,9,5,14,0,72,49,4,14,111,25,100,51,74,12346
TRUE,0,5,0,0,5,0,0,5,2,3,4,1,22,24,3,0,49,11,38,0,49,3712
TRUE,0,8,1,0,9,0,5,4,7,2,9,0,56,26,2,9,75,19,65,58,23,7765
TRUE,0,6,4,0,10,0,2,8,5,5,10,0,38,33,7,10,68,12,66,6,67,7935
TRUE,1,41,16,0,57,0,23,34,29,28,57,0,267,227,127,56,565,126,495,198,421,33841
TRUE,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0
TRUE,0,14,0,0,14,0,14,0,8,6,14,0,20,6,15,14,27,9,32,37,0,7924
TRUE,0,6,1,0,7,0,2,5,1,6,7,0,46,18,4,7,61,8,60,21,47,4855
TRUE,0,10,6,0,16,0,7,9,7,9,16,0,104,43,22,8,161,32,137,48,120,15480
TRUE,0,7,1,0,8,0,4,4,1,7,8,0,23,11,4,8,30,6,32,26,12,3240
FALSE,0,17,7,0,24,0,5,19,11,13,23,1,70,82,14,24,142,32,134,35,130,12455
TRUE,0,57,23,0,80,0,44,36,39,41,80,0,532,369,249,80,1070,186,964,736,412,91117
TRUE,0,17,5,0,22,0,17,5,11,11,21,1,97,76,26,22,177,52,147,165,32,15118
TRUE,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0
TRUE,0,3,3,0,6,0,3,3,3,3,6,0,21,6,1,6,22,14,14,16,12,2650
TRUE,0,69,22,0,91,0,58,33,58,33,91,0,538,386,83,89,918,243,764,746,261,140889
TRUE,0,115,83,3,201,0,93,108,108,93,188,13,742,819,142,195,1508,395,1308,790,911,117268
TRUE,1,122,33,0,155,0,104,51,97,58,154,1,2322,1508,453,154,4129,922,3361,3083,1199,831842
TRUE,0,11,4,0,15,0,9,6,14,1,15,0,97,52,25,15,159,65,109,129,44,25357
TRUE,0,9,4,0,13,0,5,8,7,6,13,0,152,134,37,13,310,51,272,93,229,26555
TRUE,1,51,23,0,74,0,32,42,37,37,74,0,614,410,91,74,1041,287,828,615,499,76670
FALSE,0,13,6,0,19,0,0,19,5,14,17,2,93,41,15,7,142,13,136,0,142,13620
TRUE,0,10,0,0,10,0,0,10,3,7,10,0,35,28,9,1,71,6,66,0,71,4786
TRUE,0,44,9,0,53,0,25,28,25,28,52,1,315,213,62,53,537,127,463,318,270,43712
TRUE,1,6,3,0,9,0,1,8,1,8,9,0,22,5,0,9,18,2,25,4,19,5546
TRUE,1,1,1,0,2,0,1,1,2,0,2,0,4,2,0,2,4,3,3,3,1,436
TRUE,0,81,68,0,149,0,71,78,95,54,141,8,567,727,111,140,1265,381,1024,665,740,124620
TRUE,1,110,44,0,154,0,98,56,88,66,151,3,731,666,120,153,1364,380,1137,1026,487,120470
TRUE,0,23,1,0,24,0,18,6,18,6,24,0,222,134,37,24,369,109,284,346,46,95989
TRUE,0,19,9,0,28,0,17,11,16,12,27,1,196,198,50,28,416,76,368,333,107,34844
FALSE,1,24,4,0,27,1,14,14,14,14,28,0,278,101,20,27,372,78,321,233,166,66399
TRUE,0,10,2,0,12,0,4,8,6,6,11,1,72,65,12,11,138,36,113,77,72,10102
TRUE,0,8,3,0,11,0,7,4,7,4,11,0,50,58,9,11,106,34,83,66,49,10067
TRUE,0,2,0,0,2,0,0,2,2,0,2,0,9,4,1,2,12,2,12,0,14,1980
TRUE,1,86,41,1,128,0,72,56,69,59,128,0,759,697,422,128,1750,429,1449,1206,671,184742
TRUE,0,1,1,0,2,0,0,2,2,0,2,0,1,1,0,2,0,2,0,0,2,0
TRUE,1,16,4,0,18,2,14,6,11,9,20,0,73,48,13,18,116,26,108,102,32,40931
FALSE,1,31,9,0,40,0,17,23,20,20,40,0,127,128,11,4,262,29,237,111,152,23877
FALSE,0,16,7,0,23,0,2,21,4,19,23,0,81,94,8,23,160,26,157,16,167,12192
TRUE,0,20,5,0,25,0,7,18,4,21,25,0,185,102,11,25,273,31,267,95,203,20806
TRUE,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0
TRUE,0,17,2,0,19,0,7,12,5,14,19,0,68,37,2,19,88,14,93,38,67,11592
TRUE,0,58,20,0,78,0,51,27,54,24,77,1,593,441,257,75,1216,293,998,950,341,124365
FALSE,0,9,0,0,9,0,6,3,5,4,9,0,35,11,2,9,39,13,35,30,18,4571
FALSE,1,11,2,0,13,0,2,11,2,11,13,0,71,37,6,13,101,13,101,42,72,15481
TRUE,0,3,1,0,4,0,0,4,2,2,4,0,10,4,0,4,10,4,10,0,14,1650
FALSE,0,8,5,0,13,0,2,11,2,11,13,0,32,52,11,13,82,10,85,6,88,7272
FALSE,0,106,70,0,175,1,71,105,90,86,171,5,596,638,84,173,1145,320,998,594,721,111489
TRUE,0,11,4,0,15,0,1,14,4,11,15,0,81,57,13,14,137,17,134,5,133,12846
TRUE,0,5,0,0,5,0,5,0,2,3,5,0,23,13,1,5,32,8,29,37,0,3179
TRUE,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
TRUE,0,11,12,0,23,0,14,9,17,6,22,1,135,192,28,22,333,100,255,182,173,36288
TRUE,0,1,2,0,3,0,1,2,1,2,3,0,6,8,1,2,13,5,10,10,5,800
TRUE,0,8,8,0,16,0,8,8,12,4,16,0,26,42,17,15,70,31,54,34,51,6641
TRUE,0,6,0,0,6,0,0,6,4,2,6,0,16,4,1,6,15,4,17,0,21,5745
FALSE,0,114,37,0,150,1,73,78,85,66,144,7,976,748,178,150,1752,441,1461,1039,861,201110
TRUE,0,66,23,1,87,3,38,52,45,45,85,5,603,436,416,86,1369,280,1175,636,817,120200
